,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,nan,,
1,WTSB2YR,16425.326175 To 874638.01159,Range Of Values,Subsample B weights,Both males and females 12 YEARS - 150 YEARS,nan,,
2,WTSB2YR,0,No Lab Result,Subsample B weights,Both males and females 12 YEARS - 150 YEARS,nan,,
3,WTSB2YR,.,Missing,Subsample B weights,Both males and females 12 YEARS - 150 YEARS,nan,,
4,LBXPFDE,0.07 To 6.5,Range Of Values,Perfluorodecanoic acid (PFDeA) (ng/mL),Both males and females 12 YEARS - 150 YEARS,nan,,
5,LBXPFDE,.,Missing,Perfluorodecanoic acid (PFDeA) (ng/mL),Both males and females 12 YEARS - 150 YEARS,nan,,
6,LBDPFDEL,0,At Or Above The Detection Limit,Perfluorodecanoic acid (PFDeA) Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
7,LBDPFDEL,1,Below Lower Detection Limit,Perfluorodecanoic acid (PFDeA) Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
8,LBDPFDEL,.,Missing,Perfluorodecanoic acid (PFDeA) Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
9,LBXPFHS,0.07 To 23.3,Range Of Values,Perfluorohexane sulfonic acid (PFHxS) (ng/mL),Both males and females 12 YEARS - 150 YEARS,nan,,
10,LBXPFHS,.,Missing,Perfluorohexane sulfonic acid (PFHxS) (ng/mL),Both males and females 12 YEARS - 150 YEARS,nan,,
11,LBDPFHSL,0,At Or Above The Detection Limit,Perfluorohexane sulfonic acid (PFHxS) Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
12,LBDPFHSL,1,Below Lower Detection Limit,Perfluorohexane sulfonic acid (PFHxS) Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
13,LBDPFHSL,.,Missing,Perfluorohexane sulfonic acid (PFHxS) Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
14,LBXMPAH,0.07 To 4.2,Range Of Values,2-(N-methylperfluoroctanesulfonamido)acetic acid  (Me-PFOSA-AcOH) (ng/mL),Both males and females 12 YEARS - 150 YEARS,nan,,
15,LBXMPAH,.,Missing,2-(N-methylperfluoroctanesulfonamido)acetic acid  (Me-PFOSA-AcOH) (ng/mL),Both males and females 12 YEARS - 150 YEARS,nan,,
