,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 16 YEARS - 150 YEARS,nan,,
1,BPQ020,9,Don'T Know,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
2,BPQ020,.,Missing,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
3,BPQ020,1,Yes,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
4,BPQ020,2,No,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
5,BPQ020,7,Refused,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
6,BPQ030,1,Yes,{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
7,BPQ030,2,No,{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
8,BPQ030,7,Refused,{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
9,BPQ030,9,Don'T Know,{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
10,BPQ030,.,Missing,{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
11,BPD035,10 To 79,Range Of Values,How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
12,BPD035,80,80 Years Or Older,How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
13,BPD035,777,Refused,How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
14,BPD035,999,Don'T Know,How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
15,BPD035,.,Missing,How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?,Both males and females 16 YEARS - 150 YEARS,nan,,
16,BPQ040A,1,Yes,Because of {your/SPs} (high blood pressure/hypertension) {have you/has s/he} ever been told to . . . take prescribed medicine?,Both males and females 16 YEARS - 150 YEARS,nan,,
17,BPQ040A,2,No,Because of {your/SPs} (high blood pressure/hypertension) {have you/has s/he} ever been told to . . . take prescribed medicine?,Both males and females 16 YEARS - 150 YEARS,nan,,
18,BPQ040A,7,Refused,Because of {your/SPs} (high blood pressure/hypertension) {have you/has s/he} ever been told to . . . take prescribed medicine?,Both males and females 16 YEARS - 150 YEARS,nan,,
19,BPQ040A,9,Don'T Know,Because of {your/SPs} (high blood pressure/hypertension) {have you/has s/he} ever been told to . . . take prescribed medicine?,Both males and females 16 YEARS - 150 YEARS,nan,,
20,BPQ040A,.,Missing,Because of {your/SPs} (high blood pressure/hypertension) {have you/has s/he} ever been told to . . . take prescribed medicine?,Both males and females 16 YEARS - 150 YEARS,nan,,
21,BPQ050A,1,Yes,HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine,Both males and females 16 YEARS - 150 YEARS,nan,,
22,BPQ050A,2,No,HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine,Both males and females 16 YEARS - 150 YEARS,nan,,
23,BPQ050A,7,Refused,HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine,Both males and females 16 YEARS - 150 YEARS,nan,,
24,BPQ050A,9,Don'T Know,HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine,Both males and females 16 YEARS - 150 YEARS,nan,,
25,BPQ050A,.,Missing,HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine,Both males and females 16 YEARS - 150 YEARS,nan,,
26,BPQ056,1,Yes,{Did you/Did SP} take {your/his/her} blood pressure at home during the last 12 months?,Both males and females 16 YEARS - 150 YEARS,nan,,
27,BPQ056,2,No,{Did you/Did SP} take {your/his/her} blood pressure at home during the last 12 months?,Both males and females 16 YEARS - 150 YEARS,nan,,
28,BPQ056,7,Refused,{Did you/Did SP} take {your/his/her} blood pressure at home during the last 12 months?,Both males and females 16 YEARS - 150 YEARS,nan,,
29,BPQ056,9,Don'T Know,{Did you/Did SP} take {your/his/her} blood pressure at home during the last 12 months?,Both males and females 16 YEARS - 150 YEARS,nan,,
30,BPQ056,.,Missing,{Did you/Did SP} take {your/his/her} blood pressure at home during the last 12 months?,Both males and females 16 YEARS - 150 YEARS,nan,,
