,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 20 YEARS - 150 YEARS,nan,,
1,OSQ010a,1,Yes,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .hip?,Both males and females 20 YEARS - 150 YEARS,nan,,
2,OSQ010a,2,No,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .hip?,Both males and females 20 YEARS - 150 YEARS,nan,,
3,OSQ010a,7,Refused,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .hip?,Both males and females 20 YEARS - 150 YEARS,nan,,
4,OSQ010a,9,Don'T Know,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .hip?,Both males and females 20 YEARS - 150 YEARS,nan,,
5,OSQ010a,.,Missing,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .hip?,Both males and females 20 YEARS - 150 YEARS,nan,,
6,OSQ010b,1,Yes,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .wrist?,Both males and females 20 YEARS - 150 YEARS,nan,,
7,OSQ010b,2,No,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .wrist?,Both males and females 20 YEARS - 150 YEARS,nan,,
8,OSQ010b,7,Refused,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .wrist?,Both males and females 20 YEARS - 150 YEARS,nan,,
9,OSQ010b,9,Don'T Know,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .wrist?,Both males and females 20 YEARS - 150 YEARS,nan,,
10,OSQ010b,.,Missing,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .wrist?,Both males and females 20 YEARS - 150 YEARS,nan,,
11,OSQ010c,1,Yes,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .spine?,Both males and females 20 YEARS - 150 YEARS,nan,,
12,OSQ010c,2,No,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .spine?,Both males and females 20 YEARS - 150 YEARS,nan,,
13,OSQ010c,7,Refused,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .spine?,Both males and females 20 YEARS - 150 YEARS,nan,,
14,OSQ010c,9,Don'T Know,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .spine?,Both males and females 20 YEARS - 150 YEARS,nan,,
15,OSQ010c,.,Missing,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .spine?,Both males and females 20 YEARS - 150 YEARS,nan,,
16,OSQ020a,1 To 2,Range Of Values,How many times {have you/has SP} broken or fractured {your/his/her} hip?,Both males and females 20 YEARS - 150 YEARS,nan,,
17,OSQ020a,7777,Refused,How many times {have you/has SP} broken or fractured {your/his/her} hip?,Both males and females 20 YEARS - 150 YEARS,nan,,
18,OSQ020a,9999,Don'T Know,How many times {have you/has SP} broken or fractured {your/his/her} hip?,Both males and females 20 YEARS - 150 YEARS,nan,,
19,OSQ020a,.,Missing,How many times {have you/has SP} broken or fractured {your/his/her} hip?,Both males and females 20 YEARS - 150 YEARS,nan,,
20,OSQ020b,1 To 6,Range Of Values,How many times {have you/has SP} broken or fractured {your/his/her} wrist?,Both males and females 20 YEARS - 150 YEARS,nan,,
21,OSQ020b,7777,Refused,How many times {have you/has SP} broken or fractured {your/his/her} wrist?,Both males and females 20 YEARS - 150 YEARS,nan,,
22,OSQ020b,9999,Don'T Know,How many times {have you/has SP} broken or fractured {your/his/her} wrist?,Both males and females 20 YEARS - 150 YEARS,nan,,
23,OSQ020b,.,Missing,How many times {have you/has SP} broken or fractured {your/his/her} wrist?,Both males and females 20 YEARS - 150 YEARS,nan,,
24,OSQ020c,1 To 10,Range Of Values,How many times {have you/has SP} broken or fractured {your/his/her} spine?,Both males and females 20 YEARS - 150 YEARS,nan,,
25,OSQ020c,7777,Refused,How many times {have you/has SP} broken or fractured {your/his/her} spine?,Both males and females 20 YEARS - 150 YEARS,nan,,
26,OSQ020c,9999,Don'T Know,How many times {have you/has SP} broken or fractured {your/his/her} spine?,Both males and females 20 YEARS - 150 YEARS,nan,,
27,OSQ020c,.,Missing,How many times {have you/has SP} broken or fractured {your/his/her} spine?,Both males and females 20 YEARS - 150 YEARS,nan,,
28,OSQ025,,,nan,Both males and females 20 YEARS - 150 YEARS,nan,,
29,OSD030aa,1 To 84,Range Of Values,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 1st time?,Both males and females 20 YEARS - 150 YEARS,nan,,
30,OSD030aa,85,85 Or Older,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 1st time?,Both males and females 20 YEARS - 150 YEARS,nan,,
31,OSD030aa,77777,Refused,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 1st time?,Both males and females 20 YEARS - 150 YEARS,nan,,
32,OSD030aa,99999,Don'T Know,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 1st time?,Both males and females 20 YEARS - 150 YEARS,nan,,
33,OSD030aa,.,Missing,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 1st time?,Both males and females 20 YEARS - 150 YEARS,nan,,
34,OSQ040aa,1,"Under 50 Years Old, Or",{Were you/Was SP} . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
35,OSQ040aa,2,50 Years Old Or Older?,{Were you/Was SP} . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
36,OSQ040aa,7,Refused,{Were you/Was SP} . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
37,OSQ040aa,9,Don'T Know,{Were you/Was SP} . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
38,OSQ040aa,.,Missing,{Were you/Was SP} . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
39,OSQ045,,,nan,Both males and females 20 YEARS - 150 YEARS,nan,,
40,OSD050aa,3,A Car Accident Or Other Severe Trauma,Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
41,OSD050aa,7,Refused,Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
42,OSD050aa,9,Don'T Know,Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
43,OSD050aa,.,Missing,Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
44,OSD050aa,1,"A Fall From Standing Height Or Less, For Example, Tripped, Slipped, Fell Out Of Bed",Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
45,OSD050aa,2,"A Hard Fall, Such As Falling Off A Ladder Or Step Stool, Down Stairs",Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
46,OSD030ab,17 To 83,Range Of Values,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 2nd time?,Both males and females 20 YEARS - 150 YEARS,nan,,
47,OSD030ab,85,85 Or Older,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 2nd time?,Both males and females 20 YEARS - 150 YEARS,nan,,
48,OSD030ab,77777,Refused,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 2nd time?,Both males and females 20 YEARS - 150 YEARS,nan,,
49,OSD030ab,99999,Don'T Know,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 2nd time?,Both males and females 20 YEARS - 150 YEARS,nan,,
50,OSD030ab,.,Missing,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 2nd time?,Both males and females 20 YEARS - 150 YEARS,nan,,
51,OSQ040ab,1,"Under 50 Years Old, Or",{Were you/Was SP} . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
52,OSQ040ab,2,50 Years Old Or Older?,{Were you/Was SP} . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
53,OSQ040ab,7,Refused,{Were you/Was SP} . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
54,OSQ040ab,9,Don'T Know,{Were you/Was SP} . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
55,OSQ040ab,.,Missing,{Were you/Was SP} . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
56,OSD050ab,1,"A Fall From Standing Height Or Less, For Example, Tripped, Slipped, Fell Out Of Bed",Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
57,OSD050ab,2,"A Hard Fall, Such As Falling Off A Ladder Or Step Stool, Down Stairs",Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
58,OSD050ab,3,A Car Accident Or Other Severe Trauma,Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
59,OSD050ab,7,Refused,Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
60,OSD050ab,9,Don'T Know,Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
61,OSD050ab,.,Missing,Did that fracture occur as a result of . . .,Both males and females 50 YEARS - 150 YEARS,nan,,
62,OSD030ba,1 To 84,Range Of Values,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 1st time?,Both males and females 20 YEARS - 150 YEARS,nan,,
63,OSD030ba,85,85 Or Older,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 1st time?,Both males and females 20 YEARS - 150 YEARS,nan,,
64,OSD030ba,77777,Refused,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 1st time?,Both males and females 20 YEARS - 150 YEARS,nan,,
65,OSD030ba,99999,Don'T Know,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 1st time?,Both males and females 20 YEARS - 150 YEARS,nan,,
66,OSD030ba,.,Missing,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 1st time?,Both males and females 20 YEARS - 150 YEARS,nan,,
67,OSQ040ba,1,"Under 50 Years Old, Or",{Were you/Was SP} . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
