,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 20 YEARS - 150 YEARS,nan,,
1,BHQ005,,,nan,Both males and females 20 YEARS - 150 YEARS,nan,,
2,BHQ010,1,"2 Or More Times A Day,",Next wed like to talk to you about bowel health. Well start with accidental bowel leakage. There are four types of bowel leakage that can happen: leakage (passing) of gas leakage of mucus leakage of liquid stool and leakage of solid stool. We will ask you about leakage of each of these one at a time. How often during the past 30 days have you had any amount of accidental bowel leakage that consisted of gas? Would you say . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
3,BHQ010,2,"Once A Day,",Next wed like to talk to you about bowel health. Well start with accidental bowel leakage. There are four types of bowel leakage that can happen: leakage (passing) of gas leakage of mucus leakage of liquid stool and leakage of solid stool. We will ask you about leakage of each of these one at a time. How often during the past 30 days have you had any amount of accidental bowel leakage that consisted of gas? Would you say . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
4,BHQ010,3,"2 Or More Times A Week,",Next wed like to talk to you about bowel health. Well start with accidental bowel leakage. There are four types of bowel leakage that can happen: leakage (passing) of gas leakage of mucus leakage of liquid stool and leakage of solid stool. We will ask you about leakage of each of these one at a time. How often during the past 30 days have you had any amount of accidental bowel leakage that consisted of gas? Would you say . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
5,BHQ010,4,"Once A Week,",Next wed like to talk to you about bowel health. Well start with accidental bowel leakage. There are four types of bowel leakage that can happen: leakage (passing) of gas leakage of mucus leakage of liquid stool and leakage of solid stool. We will ask you about leakage of each of these one at a time. How often during the past 30 days have you had any amount of accidental bowel leakage that consisted of gas? Would you say . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
6,BHQ010,5,"1-3 Times A Month, Or",Next wed like to talk to you about bowel health. Well start with accidental bowel leakage. There are four types of bowel leakage that can happen: leakage (passing) of gas leakage of mucus leakage of liquid stool and leakage of solid stool. We will ask you about leakage of each of these one at a time. How often during the past 30 days have you had any amount of accidental bowel leakage that consisted of gas? Would you say . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
7,BHQ010,6,Never?,Next wed like to talk to you about bowel health. Well start with accidental bowel leakage. There are four types of bowel leakage that can happen: leakage (passing) of gas leakage of mucus leakage of liquid stool and leakage of solid stool. We will ask you about leakage of each of these one at a time. How often during the past 30 days have you had any amount of accidental bowel leakage that consisted of gas? Would you say . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
8,BHQ010,77,Refused,Next wed like to talk to you about bowel health. Well start with accidental bowel leakage. There are four types of bowel leakage that can happen: leakage (passing) of gas leakage of mucus leakage of liquid stool and leakage of solid stool. We will ask you about leakage of each of these one at a time. How often during the past 30 days have you had any amount of accidental bowel leakage that consisted of gas? Would you say . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
9,BHQ010,99,Don'T Know,Next wed like to talk to you about bowel health. Well start with accidental bowel leakage. There are four types of bowel leakage that can happen: leakage (passing) of gas leakage of mucus leakage of liquid stool and leakage of solid stool. We will ask you about leakage of each of these one at a time. How often during the past 30 days have you had any amount of accidental bowel leakage that consisted of gas? Would you say . . .,Both males and females 20 YEARS - 150 YEARS,nan,,
