,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,nan,,
1,SMQ020,1,Yes,These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?,Both males and females 18 YEARS - 150 YEARS,nan,,
2,SMQ020,2,No,These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?,Both males and females 18 YEARS - 150 YEARS,nan,,
3,SMQ020,7,Refused,These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?,Both males and females 18 YEARS - 150 YEARS,nan,,
4,SMQ020,9,Don'T Know,These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?,Both males and females 18 YEARS - 150 YEARS,nan,,
5,SMQ020,.,Missing,These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?,Both males and females 18 YEARS - 150 YEARS,nan,,
6,SMD030,7 To 64,Range Of Values,How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?,Both males and females 18 YEARS - 150 YEARS,nan,,
7,SMD030,0,Never Smoked Cigarettes Regularly,How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?,Both males and females 18 YEARS - 150 YEARS,nan,,
8,SMD030,80,80 Years Or Older,How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?,Both males and females 18 YEARS - 150 YEARS,nan,,
9,SMD030,777,Refused,How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?,Both males and females 18 YEARS - 150 YEARS,nan,,
10,SMD030,999,Don'T Know,How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?,Both males and females 18 YEARS - 150 YEARS,nan,,
11,SMD030,.,Missing,How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?,Both males and females 18 YEARS - 150 YEARS,nan,,
12,SMQ040,1,Every Day,{Do you/Does SP} now smoke cigarettes?,Both males and females 18 YEARS - 150 YEARS,nan,,
13,SMQ040,2,Some Days,{Do you/Does SP} now smoke cigarettes?,Both males and females 18 YEARS - 150 YEARS,nan,,
14,SMQ040,3,Not At All,{Do you/Does SP} now smoke cigarettes?,Both males and females 18 YEARS - 150 YEARS,nan,,
15,SMQ040,7,Refused,{Do you/Does SP} now smoke cigarettes?,Both males and females 18 YEARS - 150 YEARS,nan,,
16,SMQ040,9,Don'T Know,{Do you/Does SP} now smoke cigarettes?,Both males and females 18 YEARS - 150 YEARS,nan,,
17,SMQ040,.,Missing,{Do you/Does SP} now smoke cigarettes?,Both males and females 18 YEARS - 150 YEARS,nan,,
18,SMQ050Q,1 To 90,Range Of Values,How long has it been since {you/SP} quit smoking cigarettes?,Both males and females 12 YEARS - 150 YEARS,nan,,
19,SMQ050Q,66666,50 Years Or More,How long has it been since {you/SP} quit smoking cigarettes?,Both males and females 12 YEARS - 150 YEARS,nan,,
20,SMQ050Q,77777,Refused,How long has it been since {you/SP} quit smoking cigarettes?,Both males and females 12 YEARS - 150 YEARS,nan,,
21,SMQ050Q,99999,Don'T Know,How long has it been since {you/SP} quit smoking cigarettes?,Both males and females 12 YEARS - 150 YEARS,nan,,
22,SMQ050Q,.,Missing,How long has it been since {you/SP} quit smoking cigarettes?,Both males and females 12 YEARS - 150 YEARS,nan,,
23,SMQ050U,1,Days,UNIT OF MEASURE,Both males and females 12 YEARS - 150 YEARS,nan,,
24,SMQ050U,2,Weeks,UNIT OF MEASURE,Both males and females 12 YEARS - 150 YEARS,nan,,
25,SMQ050U,3,Months,UNIT OF MEASURE,Both males and females 12 YEARS - 150 YEARS,nan,,
26,SMQ050U,4,Years,UNIT OF MEASURE,Both males and females 12 YEARS - 150 YEARS,nan,,
27,SMQ050U,7,Refused,UNIT OF MEASURE,Both males and females 12 YEARS - 150 YEARS,nan,,
28,SMQ050U,9,Don'T Know,UNIT OF MEASURE,Both males and females 12 YEARS - 150 YEARS,nan,,
29,SMQ050U,.,Missing,UNIT OF MEASURE,Both males and females 12 YEARS - 150 YEARS,nan,,
30,SMD055,14 To 79,Range Of Values,How old {were you/was SP} when {you/s/he} last smoked cigarettes {fairly regularly}?,Both males and females 12 YEARS - 150 YEARS,nan,,
31,SMD055,80,80 Years Or Older,How old {were you/was SP} when {you/s/he} last smoked cigarettes {fairly regularly}?,Both males and females 12 YEARS - 150 YEARS,nan,,
